locus	Genus	Species
NC_012208	Yersinia	enterocolitica
NC_012209	Yersinia	enterocolitica
NC_012215	Pasteurella	multocida
NC_012216	Pasteurella	multocida
NC_012222	Lactobacillus	paracasei
NC_012487	Escherichia	coli
NC_012547	Staphylococcus	aureus
NC_012556	Enterobacter	cloacae
NC_012625	Chlamydia	trachomatis
NC_012626	Chlamydia	trachomatis
NC_012627	Chlamydia	trachomatis
NC_012628	Lactobacillus	plantarum
NC_012630	Chlamydia	trachomatis
NC_012631	Chlamydia	trachomatis
NC_012661	[Haemophilus]	parasuis
NC_012690	Escherichia	coli
NC_012692	Escherichia	coli
NC_012882	Escherichia	coli
NC_012885	Aeromonas	hydrophila
NC_003526	Micrococcus	luteus
NC_006877	Acinetobacter	baumannii
NC_005566	Staphylococcus	epidermidis
NC_006827	Enterococcus	faecalis
NC_005792	Thermus	thermophilus
NC_002518	Pseudomonas	putida
NC_010286	Chlamydia	trachomatis
NC_010283	Bacillus	thuringiensis
NC_010279	Staphylococcus	aureus
NC_010284	Staphylococcus	aureus
NC_010722	Pseudomonas	aeruginosa
NC_007926	Pseudomonas	putida
NC_012944	Escherichia	coli
NC_013175	Escherichia	coli
NC_002192	Lactococcus	lactis
NC_002610	Klebsiella	pneumoniae
NC_004846	Haemophilus	influenzae
NC_004968	Streptococcus	thermophilus
NC_006881	Escherichia	coli
NC_008443	Borrelia	burgdorferi
NC_008612	Photobacterium	damselae
NC_011641	Klebsiella	pneumoniae
NC_011796	Bacillus	thuringiensis
NC_012886	Escherichia	coli
NC_002129	Staphylococcus	aureus
NC_002111	Riemerella	anatipestifer
NC_007207	Leuconostoc	mesenteroides
NC_007209	Staphylococcus	aureus
NC_004940	Erwinia	amylovora
NC_004747	Streptococcus	thermophilus
NC_005323	Streptococcus	thermophilus
NC_005248	Escherichia	coli
NC_009841	Bacillus	thuringiensis
NC_004768	Bifidobacterium	longum
NC_004978	Bifidobacterium	longum
NC_010428	Staphylococcus	aureus
NC_010419	Staphylococcus	aureus
NC_010423	Streptococcus	pyogenes
NC_010796	Serratia	marcescens
NC_010880	Enterococcus	faecium
NC_010881	Neisseria	gonorrhoeae
NC_010883	Escherichia	coli
NC_010901	Lactococcus	lactis
NC_010904	Escherichia	coli
NC_011383	Klebsiella	pneumoniae
NC_011385	Klebsiella	pneumoniae
NC_002630	Enterococcus	faecalis
NC_013120	Escherichia	coli
NC_013122	Escherichia	coli
NC_013176	Pseudomonas	putida
NC_013277	Acinetobacter	baumannii
NC_013503	Escherichia	coli
NC_013507	Escherichia	coli
NC_013533	Enterococcus	faecalis
NC_013541	Lactobacillus	plantarum
NC_013542	Klebsiella	pneumoniae
NC_013543	Lactobacillus	paracasei
NC_013544	Lactobacillus	paracasei
NC_013545	Sinorhizobium	meliloti
NC_013549	Buchnera	aphidicola
NC_013550	Staphylococcus	aureus
NC_013589	Escherichia	coli
NC_013652	Escherichia	coli
NC_013653	Staphylococcus	aureus
NC_013728	Escherichia	coli
NC_013780	Aeromonas	hydrophila
NC_013782	Escherichia	coli
