locus	Genus	Species
NC_011368	Rhizobium	leguminosarum
NC_011366	Rhizobium	leguminosarum
NC_011371	Rhizobium	leguminosarum
NC_011370	Rhizobium	leguminosarum
NC_013193	Candidatus	Accumulibacter
NC_013190	Candidatus	Accumulibacter
NC_013191	Candidatus	Accumulibacter
NC_011776	Bacillus	cereus
NC_011777	Bacillus	cereus
NC_011771	Bacillus	cereus
NC_017229	Borrelia	afzelii
NC_017224	Borrelia	afzelii
NC_017225	Borrelia	afzelii
NC_017230	Borrelia	afzelii
NC_017226	Borrelia	afzelii
NC_017227	Borrelia	afzelii
NC_017231	Borrelia	afzelii
NC_017228	Borrelia	afzelii
NC_017232	Borrelia	afzelii
NC_017239	Borrelia	afzelii
NC_017233	Borrelia	afzelii
NC_017234	Borrelia	afzelii
NC_017235	Borrelia	afzelii
NC_017236	Borrelia	afzelii
NC_017240	Borrelia	afzelii
NC_017237	Borrelia	afzelii
NC_017241	Borrelia	afzelii
NC_015715	Zymomonas	mobilis
NC_015716	Zymomonas	mobilis
NC_005707	Bacillus	cereus
NC_017180	Zymomonas	mobilis
NC_017183	Zymomonas	mobilis
NC_017181	Zymomonas	mobilis
NC_017184	Zymomonas	mobilis
NC_017182	Zymomonas	mobilis
NC_017185	Zymomonas	mobilis
NC_016150	Blattabacterium	sp.
NC_012855	Ralstonia	pickettii
NC_012849	Ralstonia	pickettii
NC_012851	Ralstonia	pickettii
NC_011654	Bacillus	cereus
NC_011655	Bacillus	cereus
NC_011656	Bacillus	cereus
NC_011657	Bacillus	cereus
NC_015700	Lactobacillus	reuteri
NC_015698	Lactobacillus	reuteri
NC_015701	Lactobacillus	reuteri
NC_015699	Lactobacillus	reuteri
NC_015876	Streptococcus	pseudopneumoniae
NC_013792	Bacillus	pseudofirmus
NC_013793	Bacillus	pseudofirmus
NC_015319	Lactobacillus	amylovorus
NC_015322	Lactobacillus	amylovorus
NC_017273	Thermus	thermophilus
NC_017377	Helicobacter	pylori
NC_003080	Corynebacterium	jeikeium
NC_014651	Geobacillus	sp.
NC_013958	Nitrosococcus	halophilus
NC_007169	Staphylococcus	haemolyticus
NC_007170	Staphylococcus	haemolyticus
NC_007171	Staphylococcus	haemolyticus
NC_017380	Helicobacter	pylori
NC_015223	Nitrosomonas	sp.
NC_015221	Nitrosomonas	sp.
NC_008010	Deinococcus	geothermalis
NC_009939	Deinococcus	geothermalis
NC_007615	Nitrosospira	multiformis
NC_007616	Nitrosospira	multiformis
NC_007617	Nitrosospira	multiformis
NC_011990	Agrobacterium	radiobacter
NC_011987	Agrobacterium	radiobacter
NC_011994	Agrobacterium	radiobacter
NC_017242	Brachyspira	intermedia
NC_012655	Bacillus	anthracis
NC_012656	Bacillus	anthracis
NC_004319	Corynebacterium	efficiens
NC_004320	Corynebacterium	efficiens
NC_014750	Marivirga	tractuosa
NC_017508	Marinobacter	adhaerens
NC_017507	Marinobacter	adhaerens
NC_015851	Acidithiobacillus	caldus
NC_015852	Acidithiobacillus	caldus
NC_015853	Acidithiobacillus	caldus
NC_015854	Acidithiobacillus	caldus
NC_006139	Desulfotalea	psychrophila
NC_006140	Desulfotalea	psychrophila
NC_010604	Mycobacterium	marinum
NC_015146	Pseudarthrobacter	phenanthrenivorans
NC_015147	Pseudarthrobacter	phenanthrenivorans
NC_014908	Alicycliphilus	denitrificans
NC_014911	Alicycliphilus	denitrificans
NC_015970	Rhodothermus	marinus
NC_015967	Rhodothermus	marinus
NC_012577	Bacillus	anthracis
NC_012579	Bacillus	anthracis
NC_017536	Oligotropha	carboxidovorans
NC_017539	Oligotropha	carboxidovorans
NC_014558	Lactobacillus	plantarum
NC_017032	Enterococcus	faecium
NC_017023	Enterococcus	faecium
NC_017024	Enterococcus	faecium
NC_017369	Helicobacter	pylori
NC_015057	Granulicella	tundricola
NC_015065	Granulicella	tundricola
NC_015058	Granulicella	tundricola
NC_015059	Granulicella	tundricola
NC_015060	Granulicella	tundricola
NC_017734	Helicobacter	pylori
NC_017919	Helicobacter	pylori
NC_018633	Chlamydia	psittaci
NC_015459	Pusillimonas	sp.
NC_015184	Agrobacterium	sp.
NC_014249	'Nostoc	azollae'
NC_014250	'Nostoc	azollae'
NC_017370	Helicobacter	pylori
NC_015423	Alicycliphilus	denitrificans
NC_010399	Clavibacter	michiganensis
NC_010408	Clavibacter	michiganensis
NC_017064	Helicobacter	pylori
NC_008688	Paracoccus	denitrificans
NC_017041	Rickettsia	australis
NC_015258	Polymorphum	gilvum
NC_017577	Shewanella	baltica
NC_017580	Shewanella	baltica
NC_017578	Shewanella	baltica
NC_017570	Shewanella	baltica
NC_017572	Shewanella	baltica
NC_017588	Thermus	thermophilus
NC_017590	Thermus	thermophilus
NC_015560	Hoyosella	subflava
NC_015561	Hoyosella	subflava
NC_017139	Bacillus	megaterium
NC_017140	Bacillus	megaterium
NC_017141	Bacillus	megaterium
NC_017935	Mesotoga	prima
NC_014811	Mycobacterium	gilvum
NC_014812	Mycobacterium	gilvum
NC_019561	Helicobacter	pylori
NC_019562	Helicobacter	pylori
NC_019564	Helicobacter	pylori
NC_019565	Helicobacter	pylori
NC_008573	Shewanella	sp.
NC_016835	Rahnella	aquatilis
NC_016819	Rahnella	aquatilis
NC_017092	Rahnella	aquatilis
NC_014331	Bacillus	cereus
NC_014332	Bacillus	cereus
NC_014333	Bacillus	cereus
NC_007336	Ralstonia	eutropha
NC_007337	Ralstonia	eutropha
NC_015178	Acidiphilium	multivorum
NC_015187	Acidiphilium	multivorum
NC_015179	Acidiphilium	multivorum
NC_015188	Acidiphilium	multivorum
NC_015180	Acidiphilium	multivorum
NC_015181	Acidiphilium	multivorum
NC_015189	Acidiphilium	multivorum
NC_015182	Acidiphilium	multivorum
NC_010401	Acinetobacter	baumannii
NC_010402	Acinetobacter	baumannii
NC_010403	Acinetobacter	baumannii
NC_010404	Acinetobacter	baumannii
NC_015498	Glaciecola	sp.
NC_018222	Enterococcus	faecalis
NC_018223	Enterococcus	faecalis
NC_007974	Cupriavidus	metallidurans
NC_007971	Cupriavidus	metallidurans
NC_007972	Cupriavidus	metallidurans
NC_006153	Yersinia	pseudotuberculosis
NC_006154	Yersinia	pseudotuberculosis
NC_017201	Bacillus	thuringiensis
NC_017199	Bacillus	thuringiensis
NC_017202	Bacillus	thuringiensis
NC_017209	Bacillus	thuringiensis
NC_017203	Bacillus	thuringiensis
NC_017204	Bacillus	thuringiensis
NC_017210	Bacillus	thuringiensis
NC_017205	Bacillus	thuringiensis
NC_017211	Bacillus	thuringiensis
NC_017206	Bacillus	thuringiensis
NC_017207	Bacillus	thuringiensis
NC_017212	Bacillus	thuringiensis
NC_020208	Enterococcus	faecium
NC_018066	Desulfosporosinus	acidiphilus
NC_018067	Desulfosporosinus	acidiphilus
NC_017726	Bacillus	anthracis
NC_017727	Bacillus	anthracis
NC_016794	Bacillus	cereus
NC_016780	Bacillus	cereus
NC_018746	Pseudomonas	putida
NC_018878	Bacillus	thuringiensis
NC_018879	Bacillus	thuringiensis
NC_018880	Bacillus	thuringiensis
NC_018881	Bacillus	thuringiensis
NC_018882	Bacillus	thuringiensis
NC_018883	Bacillus	thuringiensis
NC_018884	Bacillus	thuringiensis
NC_018885	Bacillus	thuringiensis
NC_018886	Bacillus	thuringiensis
NC_020816	Xanthomonas	citri
NC_020817	Xanthomonas	citri
NC_018516	Bacillus	thuringiensis
NC_018509	Bacillus	thuringiensis
NC_018510	Bacillus	thuringiensis
NC_018517	Bacillus	thuringiensis
NC_018511	Bacillus	thuringiensis
NC_018512	Bacillus	thuringiensis
NC_022243	Neisseria	gonorrhoeae
NC_020249	Bacillus	thuringiensis
NC_020239	Bacillus	thuringiensis
NC_020240	Bacillus	thuringiensis
NC_020250	Bacillus	thuringiensis
NC_020241	Bacillus	thuringiensis
NC_020242	Bacillus	thuringiensis
NC_020243	Bacillus	thuringiensis
NC_021515	Lactobacillus	plantarum
NC_021525	Lactobacillus	plantarum
NC_021516	Lactobacillus	plantarum
NC_021526	Lactobacillus	plantarum
NC_021517	Lactobacillus	plantarum
NC_021518	Lactobacillus	plantarum
NC_021527	Lactobacillus	plantarum
NC_021519	Lactobacillus	plantarum
NC_021528	Lactobacillus	plantarum
NC_021520	Lactobacillus	plantarum
NC_018486	Bacillus	thuringiensis
NC_018501	Bacillus	thuringiensis
NC_018487	Bacillus	thuringiensis
NC_018488	Bacillus	thuringiensis
NC_018502	Bacillus	thuringiensis
NC_018489	Bacillus	thuringiensis
NC_018503	Bacillus	thuringiensis
NC_018490	Bacillus	thuringiensis
NC_023057	Chlamydia	trachomatis
NC_020390	Bacillus	thuringiensis
NC_020377	Bacillus	thuringiensis
NC_020378	Bacillus	thuringiensis
NC_020391	Bacillus	thuringiensis
NC_020379	Bacillus	thuringiensis
NC_020380	Bacillus	thuringiensis
NC_020381	Bacillus	thuringiensis
NC_020392	Bacillus	thuringiensis
NC_020382	Bacillus	thuringiensis
NC_020383	Bacillus	thuringiensis
NC_020393	Bacillus	thuringiensis
NC_020394	Bacillus	thuringiensis
NC_020384	Bacillus	thuringiensis
NC_020385	Bacillus	thuringiensis
NC_018684	Bacillus	thuringiensis
NC_018694	Bacillus	thuringiensis
NC_018685	Bacillus	thuringiensis
NC_018686	Bacillus	thuringiensis
NC_018687	Bacillus	thuringiensis
NC_018688	Bacillus	thuringiensis
NC_018689	Bacillus	thuringiensis
NC_008826	Methylibium	petroleiphilum
NC_009806	Kineococcus	radiotolerans
NC_009660	Kineococcus	radiotolerans
NC_018492	Bacillus	cereus
NC_018493	Bacillus	cereus
NC_018499	Bacillus	cereus
NC_018494	Bacillus	cereus
NC_014159	Tsukamurella	paurometabola
NZ_CP006031	Enterococcus	faecium
NZ_CP008814	Enterococcus	faecalis
NZ_CP008815	Enterococcus	faecalis
NZ_CP007568	Aeromonas	media
NC_011758	Methylobacterium	extorquens
NC_011760	Methylobacterium	extorquens
NC_022782	Bacillus	toyonensis
NC_022783	Bacillus	toyonensis
NZ_CP012161	Octadecabacter	temperatus
NZ_CP006743	Bacillus	anthracis
NZ_CP006744	Bacillus	anthracis
NZ_CP007617	Bacillus	anthracis
NZ_CP004859	Bacillus	thuringiensis
NZ_CP004860	Bacillus	thuringiensis
NZ_CP004861	Bacillus	thuringiensis
NZ_CP004862	Bacillus	thuringiensis
NZ_CP004863	Bacillus	thuringiensis
NZ_CP004864	Bacillus	thuringiensis
NZ_CP004865	Bacillus	thuringiensis
NZ_CP004866	Bacillus	thuringiensis
NZ_CP004867	Bacillus	thuringiensis
NZ_CP004868	Bacillus	thuringiensis
NZ_CP004869	Bacillus	thuringiensis
NZ_CP007664	Bacillus	anthracis
NZ_CP007665	Bacillus	anthracis
NZ_CP005961	Pseudomonas	mandelii
NZ_CP007702	Bacillus	anthracis
NZ_CP007703	Bacillus	anthracis
NZ_CP007608	Bacillus	thuringiensis
NZ_CP007609	Bacillus	thuringiensis
NZ_CP007610	Bacillus	thuringiensis
NZ_CP007611	Bacillus	thuringiensis
NZ_CP007612	Bacillus	thuringiensis
NZ_CP007613	Bacillus	thuringiensis
NZ_CP007614	Bacillus	thuringiensis
NZ_CP007615	Bacillus	thuringiensis
NZ_CP007616	Bacillus	thuringiensis
NZ_CP004871	Bacillus	thuringiensis
NZ_CP004872	Bacillus	thuringiensis
NZ_CP004873	Bacillus	thuringiensis
NZ_CP004874	Bacillus	thuringiensis
NZ_CP004875	Bacillus	thuringiensis
NZ_CP004876	Bacillus	thuringiensis
NZ_CP004877	Bacillus	thuringiensis
NZ_CP004878	Bacillus	thuringiensis
NZ_CP004879	Bacillus	thuringiensis
NZ_CP004880	Bacillus	thuringiensis
NZ_CP004881	Bacillus	thuringiensis
NZ_CP004882	Bacillus	thuringiensis
NZ_CP004883	Bacillus	thuringiensis
NZ_CP008847	Bacillus	anthracis
NZ_CP008848	Bacillus	anthracis
NC_017555	Xanthomonas	albilineans
NC_017556	Xanthomonas	albilineans
NC_017557	Xanthomonas	albilineans
NC_018225	Natrinema	sp.
NC_019975	Natronococcus	occultus
NC_014737	Halogeometricum	borinquense
NC_010367	Halobacterium	salinarum
NC_018611	Lactobacillus	buchneri
NC_016034	Lactobacillus	buchneri
NC_016035	Lactobacillus	buchneri
NC_015658	Halopiger	xanaduensis
NC_015659	Halopiger	xanaduensis
NC_019967	Natrinema	pellirubrum
NC_014300	Halalkalicoccus	jeotgali
NC_014301	Halalkalicoccus	jeotgali
NC_014302	Halalkalicoccus	jeotgali
NC_014303	Halalkalicoccus	jeotgali
NZ_CP007061	Halobacterium	sp.
NC_006390	Haloarcula	marismortui
NC_006391	Haloarcula	marismortui
NC_006392	Haloarcula	marismortui
NC_006394	Haloarcula	marismortui
NC_013748	Haloterrigena	turkmenica
NC_013749	Haloterrigena	turkmenica
NZ_CP007056	Halostagnicola	larsenii
NZ_CP007057	Halostagnicola	larsenii
NZ_CP007058	Halostagnicola	larsenii
NZ_CP007059	Halostagnicola	larsenii
NC_006389	Haloarcula	marismortui
NC_006393	Haloarcula	marismortui
NC_006395	Haloarcula	marismortui
NC_012030	Halorubrum	lacusprofundi
NC_014731	Halogeometricum	borinquense
NC_014732	Halogeometricum	borinquense
NC_014735	Halogeometricum	borinquense
NC_014736	Halogeometricum	borinquense
NC_010366	Halobacterium	salinarum
NC_010368	Halobacterium	salinarum
NC_010369	Halobacterium	salinarum
NC_013201	Halomicrobium	mukohataei
NC_013744	Haloterrigena	turkmenica
NC_013745	Haloterrigena	turkmenica
NC_013746	Haloterrigena	turkmenica
NC_013747	Haloterrigena	turkmenica
NC_015944	Haloarcula	hispanica
NC_014254	Methanohalobium	evestigatum
NC_019976	Natronococcus	occultus
NC_015955	halophilic	archaeon
NC_015959	halophilic	archaeon
NC_014298	Halalkalicoccus	jeotgali
NC_014299	Halalkalicoccus	jeotgali
NC_015667	Halopiger	xanaduensis
NC_019963	Natrinema	pellirubrum
NZ_CP007552	Haloferax	mediterranei
NZ_CP007553	Haloferax	mediterranei
NZ_CP007554	Haloferax	mediterranei
NZ_CP009229	Treponema	putidum
NZ_CP008888	Thermococcus	eurythermalis
NZ_CP009441	Francisella	philomiragia
NZ_CP010530	Haloarcula	sp.
NZ_CP010531	Haloarcula	sp.
NZ_CP010532	Haloarcula	sp.
NZ_CP010533	Haloarcula	sp.
NZ_CP010534	Haloarcula	sp.
NZ_CP008875	Halanaeroarchaeum	sulfurireducens
NZ_CP010369	Acinetobacter	baumannii
NZ_CP010370	Acinetobacter	baumannii
NZ_CP010903	Acinetobacter	baumannii
NC_017942	Haloferax	mediterranei
NC_017943	Haloferax	mediterranei
NC_017944	Haloferax	mediterranei
NZ_CP011948	Haloferax	gibbonsii
NZ_CP011949	Haloferax	gibbonsii
NZ_CP011950	Haloferax	gibbonsii
NZ_CP011951	Haloferax	gibbonsii
NC_019014	Aeromonas	dhakensis
NC_004720	Chlamydophila	caviae
NC_002182	Chlamydia	muridarum
NC_004554	Xylella	fastidiosa
NC_005838	Thermus	thermophilus
NC_017435	Chlamydia	trachomatis
NC_017433	Chlamydia	trachomatis
NC_017284	Campylobacter	jejuni
NC_008503	Lactococcus	lactis
NC_008504	Lactococcus	lactis
NC_008505	Lactococcus	lactis
NC_008506	Lactococcus	lactis
NC_008507	Lactococcus	lactis
NC_013657	Lactococcus	lactis
NC_013852	Allochromatium	vinosum
NC_013862	Allochromatium	vinosum
NC_009467	Acidiphilium	cryptum
NC_009468	Acidiphilium	cryptum
NC_009469	Acidiphilium	cryptum
NC_009470	Acidiphilium	cryptum
NC_009471	Acidiphilium	cryptum
NC_009472	Acidiphilium	cryptum
NC_009473	Acidiphilium	cryptum
NC_009474	Acidiphilium	cryptum
NC_013200	Lactobacillus	rhamnosus
NC_010379	Clostridium	botulinum
NC_011185	Vibrio	fischeri
NC_003921	Xanthomonas	axonopodis
NC_003922	Xanthomonas	axonopodis
NC_008790	Campylobacter	jejuni
NC_008770	Campylobacter	jejuni
NC_017298	Clostridium	botulinum
NC_009955	Dinoroseobacter	shibae
NC_009956	Dinoroseobacter	shibae
NC_009957	Dinoroseobacter	shibae
NC_009958	Dinoroseobacter	shibae
NC_009959	Dinoroseobacter	shibae
NC_013531	Xylanimonas	cellulosilytica
NC_008386	Roseobacter	denitrificans
NC_008387	Roseobacter	denitrificans
NC_008388	Roseobacter	denitrificans
NC_008389	Roseobacter	denitrificans
NC_014035	Rhodobacter	capsulatus
NC_012654	Clostridium	botulinum
NC_012657	Clostridium	botulinum
NC_009700	Clostridium	botulinum
NC_010605	Acinetobacter	baumannii
NC_010606	Acinetobacter	baumannii
NC_010418	Clostridium	botulinum
NC_007801	Jannaschia	sp.
NC_010580	Beijerinckia	indica
NC_010578	Beijerinckia	indica
NC_011879	Pseudarthrobacter	chlorophenolicus
NC_011881	Pseudarthrobacter	chlorophenolicus
NC_007491	Rhodococcus	erythropolis
NC_007486	Rhodococcus	erythropolis
NC_007487	Rhodococcus	erythropolis
NC_007274	Pseudomonas	savastanoi
NC_007275	Pseudomonas	savastanoi
NC_012811	Methylobacterium	extorquens
NC_012807	Methylobacterium	extorquens
NC_012809	Methylobacterium	extorquens
NC_012810	Methylobacterium	extorquens
NC_017282	Campylobacter	jejuni
NC_017476	Lactobacillus	casei
NC_017438	Chlamydia	trachomatis
NC_017475	Lactobacillus	casei
NC_015907	Borrelia	bissettii
NC_015903	Borrelia	bissettii
NC_015908	Borrelia	bissettii
NC_015904	Borrelia	bissettii
NC_015909	Borrelia	bissettii
NC_015905	Borrelia	bissettii
NC_015910	Borrelia	bissettii
NC_015906	Borrelia	bissettii
NC_015911	Borrelia	bissettii
NC_015915	Borrelia	bissettii
NC_015922	Borrelia	bissettii
NC_015916	Borrelia	bissettii
NC_015917	Borrelia	bissettii
NC_015918	Borrelia	bissettii
NC_015919	Borrelia	bissettii
NC_015920	Borrelia	bissettii
NC_014824	Ruminococcus	albus
NC_014825	Ruminococcus	albus
NC_014826	Ruminococcus	albus
NC_014827	Ruminococcus	albus
NC_017163	Acinetobacter	baumannii
NC_017164	Acinetobacter	baumannii
NC_017220	Bifidobacterium	longum
NC_017222	Bifidobacterium	longum
NC_016598	Blattabacterium	sp.
NC_017496	Lactococcus	lactis
NC_017493	Lactococcus	lactis
NC_017495	Lactococcus	lactis
NC_017497	Lactococcus	lactis
NC_016634	Thermus	sp.
NC_015664	Frankia	symbiont
NC_015657	Frankia	symbiont
NC_004923	Aeromonas	salmonicida
NC_004925	Aeromonas	salmonicida
NC_004924	Aeromonas	salmonicida
NC_009349	Aeromonas	salmonicida
NC_009350	Aeromonas	salmonicida
NC_017189	Bacillus	amyloliquefaciens
NC_017327	Sinorhizobium	meliloti
NC_017326	Sinorhizobium	meliloti
NC_017324	Sinorhizobium	meliloti
NC_017323	Sinorhizobium	meliloti
NC_016079	Pelagibacterium	halotolerans
NC_008012	Lawsonia	intracellularis
NC_008013	Lawsonia	intracellularis
NC_008014	Lawsonia	intracellularis
NC_015597	Sinorhizobium	meliloti
NC_015592	Sinorhizobium	meliloti
NC_015409	Verrucosispora	maris
NC_017925	Blattabacterium	sp.
NZ_CP010107	Bacillus	thuringiensis
NZ_CP010108	Bacillus	thuringiensis
NZ_CP010109	Bacillus	thuringiensis
NZ_CP010110	Bacillus	thuringiensis
NZ_CP010111	Bacillus	thuringiensis
NZ_CP010112	Bacillus	thuringiensis
NZ_CP009109	Bacillus	pumilus
NZ_CP012100	Bacillus	thuringiensis
NZ_CP012101	Bacillus	thuringiensis
NZ_CP012102	Bacillus	thuringiensis
NZ_CP012103	Bacillus	thuringiensis
NZ_CP012104	Bacillus	thuringiensis
NZ_CP012105	Bacillus	thuringiensis
NZ_CP012106	Bacillus	thuringiensis
NZ_CP012107	Bacillus	thuringiensis
NZ_CP012108	Bacillus	thuringiensis
NC_017736	Helicobacter	cetorum
NZ_CP010568	Chlamydia	trachomatis
NZ_CP010570	Chlamydia	trachomatis
NZ_CP010572	Chlamydia	trachomatis
NZ_CP007132	Chlamydia	trachomatis
NC_017794	Borrelia	crocidurae
NC_017774	Borrelia	crocidurae
NC_017809	Borrelia	crocidurae
NC_017775	Borrelia	crocidurae
NC_017810	Borrelia	crocidurae
NC_017776	Borrelia	crocidurae
NC_017777	Borrelia	crocidurae
NC_017811	Borrelia	crocidurae
NC_017778	Borrelia	crocidurae
NC_017779	Borrelia	crocidurae
NC_017812	Borrelia	crocidurae
NC_017780	Borrelia	crocidurae
NC_017813	Borrelia	crocidurae
NC_017781	Borrelia	crocidurae
NC_017782	Borrelia	crocidurae
NC_017814	Borrelia	crocidurae
NC_017783	Borrelia	crocidurae
NC_017784	Borrelia	crocidurae
NC_017815	Borrelia	crocidurae
NC_017785	Borrelia	crocidurae
NC_017816	Borrelia	crocidurae
NC_017795	Borrelia	crocidurae
NC_017786	Borrelia	crocidurae
NC_017817	Borrelia	crocidurae
NC_017796	Borrelia	crocidurae
NC_017818	Borrelia	crocidurae
NC_017797	Borrelia	crocidurae
NC_017798	Borrelia	crocidurae
NC_017819	Borrelia	crocidurae
NC_017799	Borrelia	crocidurae
NC_017800	Borrelia	crocidurae
NC_017787	Borrelia	crocidurae
NC_017820	Borrelia	crocidurae
NC_017788	Borrelia	crocidurae
NC_017789	Borrelia	crocidurae
NC_017821	Borrelia	crocidurae
NC_017801	Borrelia	crocidurae
NC_017802	Borrelia	crocidurae
NC_017822	Borrelia	crocidurae
NZ_CP012188	Lactobacillus	paracasei
NZ_CP012189	Lactobacillus	paracasei
NZ_CP012190	Lactobacillus	paracasei
NZ_CP012191	Lactobacillus	paracasei
NC_017035	Pasteurella	multocida
NC_016748	Marinitoga	piezophila
NC_016746	Oceanimonas	sp.
NC_016747	Oceanimonas	sp.
NC_016635	Pediococcus	claussenii
NC_016606	Pediococcus	claussenii
NC_016636	Pediococcus	claussenii
NC_016607	Pediococcus	claussenii
NC_016608	Pediococcus	claussenii
NC_017017	Pediococcus	claussenii
NC_017018	Pediococcus	claussenii
NC_017019	Pediococcus	claussenii
NC_006365	Legionella	pneumophila
NC_006366	Legionella	pneumophila
NC_017805	Deinococcus	gobiensis
NC_017791	Deinococcus	gobiensis
NC_017771	Deinococcus	gobiensis
NC_017792	Deinococcus	gobiensis
NC_017806	Deinococcus	gobiensis
NC_017793	Deinococcus	gobiensis
NC_010123	Gluconacetobacter	diazotrophicus
NC_010124	Gluconacetobacter	diazotrophicus
NC_017858	Methylophaga	frappieri
NC_010555	Proteus	mirabilis
NC_009478	Clavibacter	michiganensis
NC_009479	Clavibacter	michiganensis
NC_010529	Cupriavidus	taiwanensis
NC_017965	Advenella	kashmirensis
NC_012987	Methylobacterium	extorquens
NC_012989	Methylobacterium	extorquens
NC_014144	Thiomonas	arsenitoxydans
NC_016939	Rickettsia	massiliae
NC_017055	Rickettsia	rhipicephali
NC_017923	Burkholderia	sp.
NC_018674	Leuconostoc	carnosum
NC_018698	Leuconostoc	carnosum
NC_018675	Leuconostoc	carnosum
NC_018699	Leuconostoc	carnosum
NC_018635	Chlamydia	psittaci
NC_018638	Chlamydia	psittaci
NC_018640	Chlamydia	psittaci
NC_012176	Borrelia	spielmanii
NC_012181	Borrelia	spielmanii
NC_012190	Borrelia	spielmanii
NC_012132	Borrelia	spielmanii
NC_012200	Borrelia	spielmanii
NC_012164	Borrelia	spielmanii
NC_012173	Borrelia	spielmanii
NC_012183	Borrelia	spielmanii
NC_018639	Chlamydia	psittaci
NC_018657	[Clostridium]	acidurici
NC_018634	Chlamydia	psittaci
NC_018680	Alteromonas	macleodii
NC_012129	Borrelia	valaisiana
NC_012177	Borrelia	valaisiana
NC_012131	Borrelia	valaisiana
NC_012133	Borrelia	valaisiana
NC_012204	Borrelia	valaisiana
NC_012166	Borrelia	valaisiana
NC_012130	Borrelia	valaisiana
NC_012180	Borrelia	valaisiana
NC_012185	Borrelia	valaisiana
NC_012128	Borrelia	valaisiana
NC_012169	Borrelia	valaisiana
NC_019387	Thermus	oshimai
NC_019388	Thermus	oshimai
NC_018636	Chlamydia	psittaci
NC_014026	Salinibacter	ruber
NC_014028	Salinibacter	ruber
NC_014030	Salinibacter	ruber
NC_014157	Salinibacter	ruber
NC_020128	Lawsonia	intracellularis
NC_020129	Lawsonia	intracellularis
NC_020130	Lawsonia	intracellularis
NC_019430	Lactococcus	lactis
NC_019431	Lactococcus	lactis
NC_019436	Lactococcus	lactis
NC_019432	Lactococcus	lactis
NC_019437	Lactococcus	lactis
NC_019433	Lactococcus	lactis
NC_019434	Lactococcus	lactis
NC_019438	Lactococcus	lactis
NC_018146	Zymomonas	mobilis
NC_018147	Zymomonas	mobilis
NC_018148	Zymomonas	mobilis
NC_019397	Gluconobacter	oxydans
NC_019956	Thermoanaerobacterium	thermosaccharolyticum
NC_019941	Thioflavicoccus	mobilis
NC_019394	Alteromonas	mediterranea
NC_019937	Pseudomonas	stutzeri
NC_019938	Pseudomonas	stutzeri
NC_019939	Pseudomonas	stutzeri
NC_020053	Chamaesiphon	minutus
NC_019698	Chamaesiphon	minutus
NC_020060	Rhizobium	tropici
NC_020061	Rhizobium	tropici
NC_020062	Rhizobium	tropici
NC_017957	Tistrella	mobilis
NC_017966	Tistrella	mobilis
NC_017958	Tistrella	mobilis
NC_017959	Tistrella	mobilis
NC_011355	Mycobacterium	liflandii
NC_018022	Mycobacterium	chubuense
NC_018023	Mycobacterium	chubuense
NC_020522	Legionella	pneumophila
NC_021049	Chlamydia	trachomatis
NC_021051	Chlamydia	trachomatis
NC_020907	Octadecabacter	antarcticus
NC_019957	Mycobacterium	sp.
NC_019958	Mycobacterium	sp.
NC_019959	Mycobacterium	sp.
NC_020909	Octadecabacter	arcticus
NC_020910	Octadecabacter	arcticus
NC_020527	Sinorhizobium	meliloti
NC_020560	Sinorhizobium	meliloti
NC_021503	Lactobacillus	reuteri
NC_021495	Lactobacillus	reuteri
NC_021496	Lactobacillus	reuteri
NC_021504	Lactobacillus	reuteri
NC_021497	Lactobacillus	reuteri
NC_021498	Lactobacillus	reuteri
NC_021277	Fusobacterium	nucleatum
NC_021183	Clostridium	pasteurianum
NC_016646	Pseudovibrio	sp.
NC_021886	Candidatus	Profftella
NC_020542	Sphingomonas	sp.
NC_020562	Sphingomonas	sp.
NC_020543	Sphingomonas	sp.
NC_020544	Sphingomonas	sp.
NC_020563	Sphingomonas	sp.
NC_021668	Psychrobacter	sp.
NC_021662	Psychrobacter	sp.
NC_021669	Psychrobacter	sp.
NC_021722	Lactobacillus	casei
NC_022111	Prevotella	sp.
NC_021730	Acinetobacter	baumannii
NC_021731	Acinetobacter	baumannii
NC_021732	Acinetobacter	baumannii
NC_021734	Acinetobacter	baumannii
NC_019428	Anabaena	sp.
NC_019429	Anabaena	sp.
NC_019440	Anabaena	sp.
NC_022225	Vibrio	anguillarum
NC_021918	Cycloclasticus	zancles
NC_022271	Vibrio	campbellii
NC_020275	Mycobacterium	yongonense
NC_020276	Mycobacterium	yongonense
NC_022042	Paracoccus	aminophilus
NC_022049	Paracoccus	aminophilus
NC_022043	Paracoccus	aminophilus
NC_022044	Paracoccus	aminophilus
NC_022050	Paracoccus	aminophilus
NC_021727	Acinetobacter	baumannii
NC_021728	Acinetobacter	baumannii
NC_022114	Lactobacillus	paracasei
NC_022123	Lactobacillus	paracasei
NC_021278	Mycobacterium	abscessus
NC_021279	Mycobacterium	abscessus
NC_021906	Rhizobium	etli
NC_021907	Rhizobium	etli
NC_021910	Rhizobium	etli
NC_021908	Rhizobium	etli
NC_021909	Rhizobium	etli
NC_021911	Rhizobium	etli
NC_022125	Rhodococcus	erythropolis
NC_022551	Blattabacterium	sp.
NC_022355	Campylobacter	coli
NC_022348	Campylobacter	coli
NC_022436	Desulfovibrio	gigas
NC_022656	Campylobacter	coli
NC_022739	Pseudomonas	sp.
